Date,Price,Open,High,Low,Vol.,Change %
12/30/2019,26609.34,26416.48,26609.34,26240.29,382.81M,0.01
12/27/2019,26416.48,26090.88,26419.73,26050.44,222.48M,0.01
12/24/2019,26092.82,26115.80,26124.73,26018.13,324.38M,0.00
12/23/2019,26115.80,26526.35,26526.35,26102.21,188.79M,-0.02
12/20/2019,26526.35,26584.45,26584.45,26408.32,341.61M,0.00
12/19/2019,26584.45,26665.73,26684.74,26536.01,304.21M,0.00
12/18/2019,26665.73,26660.44,26691.44,26646.64,232.68M,0.00
12/17/2019,26660.44,26695.18,27006.97,26643.10,331.91M,0.00
12/16/2019,26695.18,26536.21,26695.18,26521.38,170.52M,0.01
12/13/2019,26536.21,26569.80,26627.68,26503.92,155.34M,0.00
12/12/2019,26569.80,26434.00,26579.09,26434.00,319.69M,0.01
12/11/2019,26434.00,26384.21,26445.80,26332.35,180.06M,0.00
12/10/2019,26384.21,26705.70,26716.38,26383.36,196.29M,-0.01
12/9/2019,26681.31,26855.52,26855.52,26582.25,192.67M,-0.01
12/6/2019,26855.52,26913.70,26926.72,26746.03,197.03M,0.00
12/5/2019,26913.70,26941.56,26948.42,26889.48,206.73M,0.00
12/4/2019,26938.58,26944.32,26956.43,26918.12,112.88M,0.00
12/3/2019,26944.32,27000.35,27030.98,26833.39,189.01M,0.00
12/2/2019,26990.59,26999.69,27025.20,26931.13,246.49M,0.00
11/29/2019,27002.15,26824.50,27028.05,26823.81,227.16M,0.01
11/28/2019,26824.50,26790.10,26863.97,26790.10,303.77M,0.00
11/27/2019,26790.10,26883.33,26893.32,26782.84,189.86M,0.00
11/26/2019,26883.33,27035.78,27096.53,26883.33,209.97M,-0.01
11/25/2019,27035.78,26991.42,27109.29,26980.27,230.65M,0.00
11/22/2019,26991.42,26872.09,27039.80,26849.26,207.26M,0.00
11/21/2019,26872.09,26776.15,26872.09,26721.99,239.22M,0.00
11/20/2019,26776.15,26750.49,27035.28,26750.49,267.31M,0.00
11/19/2019,26739.44,26691.09,26861.14,26659.90,394.35M,0.00
11/18/2019,26691.09,26851.68,26851.68,26666.40,307.88M,-0.01
11/15/2019,26851.68,26883.67,26984.06,26724.43,469.99M,0.00
11/14/2019,26843.11,26339.11,26843.11,26339.11,624.84M,0.02
11/13/2019,26357.61,26456.39,26456.39,26338.25,610.56M,0.00
11/12/2019,26456.39,26314.49,26512.60,26314.49,378.35M,0.01
11/8/2019,26314.49,26188.24,26333.84,26143.12,432.47M,0.00
11/7/2019,26188.24,26223.66,26242.53,26172.35,726.19M,0.00
11/6/2019,26223.66,26364.81,26367.19,26223.66,232.09M,-0.01
11/5/2019,26375.35,26401.06,26447.96,26299.86,304.28M,0.00
11/4/2019,26401.06,26293.30,26433.95,26293.30,368.18M,0.00
11/1/2019,26293.30,26355.35,26378.00,26217.91,252.37M,0.00
10/31/2019,26355.35,26310.77,26363.10,26227.60,347.80M,0.00
10/30/2019,26310.77,26236.04,26385.37,26199.51,156.85M,0.00
10/29/2019,26244.39,26384.45,26388.40,26244.39,267.90M,-0.01
10/28/2019,26384.45,26348.73,26394.37,26348.73,485.89M,0.00
10/25/2019,26348.73,26357.24,26360.20,26113.88,250.54M,0.00
10/24/2019,26357.24,26397.94,26410.84,26350.07,177.04M,0.00
10/23/2019,26397.94,26365.83,26410.91,26294.57,168.43M,0.00
10/22/2019,26365.83,26390.08,26409.34,26353.55,519.76M,0.00
10/21/2019,26390.08,26448.62,26449.53,26382.21,135.80M,0.00
10/18/2019,26448.62,26456.29,26464.61,26374.84,310.56M,0.00
10/17/2019,26456.29,26472.20,26472.20,26429.94,144.08M,0.00
10/16/2019,26472.20,26513.65,26574.38,26470.68,138.47M,0.00
10/15/2019,26513.65,26557.44,26567.67,26510.14,174.41M,0.00
10/14/2019,26557.44,26533.78,26607.06,26506.56,129.08M,0.00
10/11/2019,26533.78,26583.75,26702.39,26533.14,117.38M,0.00
10/10/2019,26583.75,26598.94,26599.87,26578.03,363.25M,0.00
10/9/2019,26598.94,26817.30,26817.30,26489.42,243.01M,-0.01
10/8/2019,26809.92,26866.41,26896.09,26809.30,185.94M,0.00
10/7/2019,26866.41,26987.45,27004.48,26835.58,151.71M,0.00
10/4/2019,26987.45,27085.69,27089.38,26974.83,138.88M,0.00
10/3/2019,27085.69,27314.87,27480.30,26575.54,151.19M,-0.01
10/2/2019,27314.87,27630.56,27645.40,27261.25,175.55M,-0.01
9/30/2019,27630.56,27675.04,27693.29,27113.91,194.80M,0.00
9/27/2019,27675.04,27579.85,27675.04,27368.84,187.08M,0.00
9/26/2019,27579.85,27283.05,27579.85,27281.38,183.46M,0.01
9/25/2019,27283.05,27360.45,27371.59,27267.16,462.31M,0.00
9/24/2019,27352.24,27635.68,27635.68,27352.24,154.03M,-0.01
9/23/2019,27650.28,27698.69,27704.62,27650.82,109.56M,0.00
9/20/2019,27698.69,27667.31,27715.27,27576.27,177.41M,0.00
9/19/2019,27646.15,27681.61,27698.44,27577.69,245.43M,0.00
9/18/2019,27681.61,27407.04,27700.07,27386.36,378.80M,0.01
9/17/2019,27407.04,27574.32,27646.96,27371.89,196.91M,-0.01
9/16/2019,27574.32,27779.00,27984.08,27538.33,268.35M,-0.01
9/13/2019,27779.00,27426.64,27779.73,27426.64,165.24M,0.01
9/12/2019,27426.64,27153.53,27439.54,27142.88,115.30M,0.01
9/11/2019,27153.53,27047.58,27157.66,27009.52,211.52M,0.00
9/10/2019,27047.58,27089.84,27148.69,26977.36,364.22M,0.00
9/9/2019,27089.84,27146.57,27231.76,27086.61,290.49M,0.00
9/6/2019,27146.57,27252.09,27582.15,26895.56,311.26M,0.00
9/5/2019,27252.09,27319.64,27319.64,27273.14,133.34M,0.00
9/4/2019,27319.64,27590.44,27606.85,27283.67,250.45M,-0.01
9/3/2019,27586.79,27565.09,27606.28,27481.18,294.40M,0.00
9/2/2019,27565.14,27540.42,27677.37,27463.76,111.50M,0.00
8/30/2019,27525.81,27425.57,27602.39,27326.40,124.74M,0.00
8/29/2019,27425.57,27607.02,27643.50,27423.36,116.07M,-0.01
8/28/2019,27607.02,27602.77,27626.37,27546.34,130.37M,0.00
8/27/2019,27602.77,27691.85,27691.85,27475.64,183.65M,0.00
8/26/2019,27691.85,27800.17,27851.37,27601.78,158.27M,0.00
8/23/2019,27800.17,27629.66,27849.25,27624.27,339.62M,0.01
8/22/2019,27629.66,27352.94,27650.89,27352.94,272.60M,0.01
8/21/2019,27352.94,27058.03,27352.94,27043.28,363.97M,0.01
8/20/2019,27058.62,27128.77,27217.88,26938.05,209.62M,0.00
8/19/2019,27117.22,26928.80,27172.42,26928.35,250.74M,0.01
8/16/2019,26925.29,27058.88,27203.58,26789.38,258.29M,0.00
8/15/2019,27052.93,27083.11,27120.09,26895.43,233.09M,0.00
8/14/2019,27083.11,27303.13,27307.60,27083.11,235.12M,-0.01
8/9/2019,27306.81,27424.92,27434.59,27306.81,220.80M,0.00
8/8/2019,27424.92,27412.13,27450.92,27308.64,279.63M,0.00
8/7/2019,27412.13,27527.40,27534.56,27404.26,128.92M,0.00
8/6/2019,27527.40,27669.38,27706.47,27521.00,170.72M,-0.01
8/5/2019,27669.38,27630.46,27674.85,27584.11,280.69M,0.00
8/2/2019,27630.46,27748.46,27792.77,27623.58,161.65M,0.00
8/1/2019,27748.46,27718.26,27748.46,27615.46,97.36M,0.00
7/31/2019,27718.26,27816.89,27902.51,27679.02,251.92M,0.00
7/30/2019,27820.57,27950.36,28028.27,27814.13,155.18M,0.00
7/29/2019,27950.36,27918.59,27976.14,27912.70,92.79M,0.00
7/26/2019,27918.59,27990.61,28031.67,27900.57,130.85M,0.00
7/25/2019,27990.61,28088.74,28103.69,27985.62,359.11M,0.00
7/24/2019,28088.74,28144.87,28292.44,28070.65,157.77M,0.00
7/23/2019,28144.87,27808.69,28144.87,27791.98,135.18M,0.01
7/22/2019,27808.69,27919.50,28070.43,27808.69,285.76M,0.00
7/19/2019,27919.50,27864.49,27948.24,27803.57,273.90M,0.00
7/18/2019,27864.49,28046.02,28067.62,27864.49,175.36M,-0.01
7/17/2019,28042.80,28197.66,28251.78,28042.68,243.70M,-0.01
7/16/2019,28200.88,28340.98,28566.41,28138.50,216.68M,0.00
7/15/2019,28341.03,28566.79,28577.41,28337.52,175.17M,-0.01
7/12/2019,28566.79,28712.90,28759.29,28563.31,100.37M,-0.01
7/11/2019,28712.90,29256.60,29281.36,28637.58,188.43M,-0.02
7/10/2019,29256.60,29318.02,29318.02,29010.33,188.74M,0.00
7/9/2019,29318.85,29287.87,29318.85,28943.48,294.40M,0.00
7/8/2019,29287.87,29270.95,29312.93,29216.70,216.29M,0.00
